OldName,Correction
Taxoterecin,Docetaxel 
tc,Docetaxel+Cyclophosphamide
TC,Docetaxel+Cyclophosphamide
TCH,Docetaxel+Carboplatin+Trastuzumab
Temazolomide,Temozolomide
Temodal,Temozolomide
temodar,Temozolomide
Temodar,Temozolomide
Temozlomide,Temozolomide
Temozolamide,Temozolomide
temozolomide,Temozolomide
Temozolomide,Temozolomide
TEMOZOLOMIDE,Temozolomide
Temozomide,Temozolomide
temsirolimus,Temsirolimus
Temsirolimus,Temsirolimus
Teniposide,Teniposide
Tesetaxel,Tesetaxel
Tetrathiomolybdate,Tiomolibdate
thalidomide,Thalidomide
Thalidomide,Thalidomide
Themozolomide,Temozolomide
ThioTepa,Thiotepa
Threshold-302,Evofosfamide
Tipifarnib,Tipifarnib
Tivantinib (ARQ-197),Tivantinib
Tivozanib,Tivozanib
TL32711,Birinapant
Tomaxifen,Tamoxifen
Topecan,Topotecan 
Topetecan,Topotecan
topotecan,Topotecan
Topotecan,Topotecan
Topotecan HCl,Topotecan
Topotecan HCL,Topotecan
Topotecan/Carboplatin,Topotecan+Carboplatin
Toptecan,Topotecan
Torisel,Temsirolimus
TORISEL,Temsirolimus
trabectedin,Trabectedin
Trabectedin,Trabectedin
Trametinib,Trametinib
trastuzumab,Trastuzumab
Trastuzumab,Trastuzumab
TRASTUZUMAB,Trastuzumab
Trelstar,Triptorelin
Trenantone,Leuprolide
Treosulfan,Treosulfan
triptorelin,Triptorelin
Triptorelin,Triptorelin
Trustuzumab,Trastuzumab
TS-1,Tegafur+Gimeracil+Oteracil 
Tyrosine kinase inhibitor,NOS
Unkown,NOS
Valproic Acid,Valproic Acid
Vamydex,Vamydex 
vectibix,Panitumumab
VECTIBIX,Panitumumab
VEGF-TRAP,Aflibercept
Velcade,Dortezomib
vemurafenib,Vemurafenib
Vemurafenib,Vemurafenib
VEMURAFENIB,Vemurafenib
Vepesid,Etoposide
vinblastine,Vinblastine
Vinblastine,Vinblastine
vincristina,Vincristine
vincristine,Vincristine
Vincristine,Vincristine
VINCRISTINE,Vincristine
Vincristine (sulfate),Vincristine
Vinorelbin,Vinorelbine
Vinorelbin Tartrate,Vinorelbine
Vinorelbine,Vinorelbine
Vinorelbine Tartrate,Vinorelbine
VMCL,VMCL 
Vorinostat,Vorinostat
Votrient,Pazopanib
VP-16,Etoposide
VP 16,Etoposide
VP16,Etoposide
WT-1 Vaccine,WT-1 Vaccine
xeloda,Capecitabine
Xeloda,Capecitabine
XELODA,Capecitabine
Xeloda (Capecitabine),Capecitabine
Xeloda(capecitabine),Capecitabine
Xelox,Capecitabine+Oxaliplatin
Xgeva,Denosumab
Xyotax,Paclitaxel
Yervoy,Ipilimumab
Yondelis,Trabectedin
ZD6474,Vandetanib
Zofran,Ondansetron
Zoladex,Goserelin
zoledronic acid,Zoledronic acid
Zoledronic acid,Zoledronic acid
Zoledronic Acid,Zoledronic acid
ZOLEDRONIC ACID,Zoledronic acid
Zometa,Zoledronic acid
